,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_nbatches
A1BG,True,1524.0,0.21884575115761465,0.36423218935625057,1.3168223506684154,2
A1BG-AS1,False,,0.01226749706513073,0.016271285992796997,1.0617908972340964,0
A1CF,False,,0.09089020643716535,0.11743142532714163,0.9862511717600606,0
A2M,True,751.5,0.4317694282927604,0.7504216254608718,1.4346244561163823,2
A2M-AS1,True,1069.0,0.013854444860512922,0.022026802274068714,1.2326718156683505,1
A2ML1,False,2272.0,0.006633773452327008,0.007382464312553107,0.9729991522024337,1
A4GALT,False,,0.05894733854957204,0.06819507059870408,0.9266228827636087,0
A4GNT,True,868.0,0.0005149573318718015,0.000919225490972188,0.6830775758850539,1
AAAS,False,,0.0614611273399257,0.07079545417983078,0.8906393127489918,0
AACS,False,,0.033422305708582886,0.04195768263407427,0.9685223554790625,0
AADAC,False,2035.0,0.08377311372941779,0.12634510631804044,1.1814355499100677,1
AADACL2-AS1,True,874.0,0.0006173427140415527,0.000896822887216015,0.7125404902331435,1
AADAT,False,,0.007093808817621199,0.008689524493527466,0.9758072284600987,0
AAED1,False,,0.07753864269435917,0.09693014891024869,0.9652265171024506,0
AAGAB,False,,0.05827992530444021,0.06777423316174087,0.9068356029712699,0
AAK1,False,,0.3213232903103833,0.43852195111829856,1.0982608233826707,0
AAMDC,False,,0.17907153678913174,0.20099385848897053,0.9004496778699345,0
AAMP,False,,0.2096949545434379,0.23372734114911278,0.8911647183627996,0
AAR2,False,,0.04533015637918635,0.054207662384458455,0.9341557665479446,0
AARD,False,,0.004854330711461652,0.006201531245945522,0.5487000099324167,0
AARS,False,,0.07493206406105446,0.08482632475637271,0.8825407688570692,0
AARS2,False,,0.015679547806318615,0.019764331096802073,1.0116186542695385,0
AARSD1,False,,0.04843451896291745,0.06264509684052064,1.0391731824719272,0
AASDH,False,,0.05877549002380609,0.07448902435962293,1.0059808803667445,0
AASDHPPT,False,,0.11429663835588602,0.1345971914581045,0.9160832684642695,0
AASS,False,2719.0,0.03643659061055475,0.04634288392343709,1.0421427292043648,1
AATBC,True,276.0,0.0003906229295097206,0.000743408428548966,0.7864501488732832,1
AATF,False,,0.12869318883976122,0.15757479201405553,0.9724441890633906,0
AATK,False,,0.008795421391806712,0.009983826925487988,0.8664981151809772,0
ABALON,False,,0.00042581906639353273,0.00035775028510035044,0.34109990405793084,0
ABAT,False,,0.026841961900262046,0.0333460553297142,0.9630126745991505,0
ABCA1,False,,0.0733935334508009,0.09760219524382664,1.0273558237568514,0
ABCA10,False,1893.0,0.006875632657411337,0.008982955016603995,1.1160822906984678,1
ABCA12,False,,0.0010975522238729186,0.0012379478560633952,0.40222632539655306,0
ABCA13,False,,0.00044384200056468866,0.0003706900749071325,0.4625924577961001,0
ABCA2,False,,0.05906215233218238,0.08966081763514636,1.1282275639535988,0
ABCA3,False,,0.01986423703158349,0.02640770543482447,0.95414943020947,0
ABCA4,False,,0.0025233253586874204,0.0024686870937591955,0.7632653292018907,0
ABCA5,False,,0.07784450870797915,0.09792600295869125,0.9710511183072355,0
ABCA6,True,991.0,0.03158063047990693,0.044464533119420765,1.1238486359568893,1
ABCA7,True,1403.0,0.04534253594343602,0.06233479244732336,1.1128138471711868,1
ABCA8,True,538.0,0.023399732859441125,0.030697649311096035,1.1676094278322466,1
ABCA9,True,581.0,0.006635187553948585,0.010025971060034635,1.263721211729754,1
ABCB1,False,,0.03423653097022087,0.04534167464501332,1.0180329733103166,0
ABCB10,False,,0.033793939641629425,0.03960465954572926,0.9001277894997592,0
ABCB11,False,,0.0040303080783883356,0.0038275601854218084,0.7212178150025848,0
ABCB4,False,,0.026859673126055313,0.03361849281931487,1.0065808086309933,0
ABCB5,False,2243.0,0.008385251929662324,0.012018261911015269,1.1841549783187837,1
ABCB6,True,651.0,0.0008298903422712306,0.0011078382700669552,1.1968393860567836,1
ABCB7,False,,0.0401901574054155,0.047128012281436905,0.9278236785894289,0
ABCB8,False,,0.04961363797964052,0.05630932405526496,0.8921743014197863,0
ABCB9,False,,0.02229238626200424,0.02858242069299799,0.9859142334478934,0
ABCC1,False,,0.032865252816437325,0.04369997803966261,1.0359534640796935,0
ABCC10,False,,0.02324810497916996,0.03171848042525008,1.0702925395378693,0
ABCC11,False,,0.0006109580472533168,0.0008727134249612528,0.5259090828335217,0
ABCC2,False,,0.01770704634067724,0.018795346785852155,0.8730069000063275,0
ABCC3,True,1568.0,0.23033293517079714,0.388174193089007,1.1261409046191102,1
ABCC4,False,,0.04318880880001379,0.054635998024540194,0.9281020096483859,0
ABCC5,False,,0.0346890471519763,0.045248893814954824,0.9834935615374779,0
ABCC6,False,,0.026492806330632293,0.025367192496002302,0.7270430019735865,0
ABCC9,True,688.0,0.02795852974709689,0.0417277716387663,1.2396147871320604,1
ABCD1,False,,0.02004555861467389,0.024483891567251104,0.900789526520552,0
ABCD2,False,1994.0,0.0062886611354593305,0.010032104319007916,1.2657058205704632,2
ABCD3,False,,0.09890780839097342,0.12732368719033052,0.9487848405396992,0
ABCD4,False,,0.09425623370882802,0.11669292717353401,0.9885599516749426,0
ABCE1,False,,0.1400215571971402,0.16385032161163648,0.9244228633393058,0
ABCF1,False,,0.24453287479882715,0.2940404703659721,0.9635083462543306,0
ABCF2,False,,0.07186415199976334,0.08442182956304269,0.9225518664281355,0
ABCF3,False,,0.052492777089727466,0.06477076336743463,0.9705442734950593,0
ABCG1,False,,0.06770478382553666,0.08940602140943738,1.050689565789566,0
ABCG2,False,,0.040292198851895035,0.047741934176770855,1.0169135143352508,0
ABCG5,False,,0.007635844095982572,0.007140894558994756,0.7496151964854569,0
ABCG8,False,,0.004413323090957092,0.00371977850013171,0.6719340406214562,0
ABHD1,False,,0.020097885038114407,0.02571807041981695,0.9657827921406086,0
ABHD10,False,,0.038381911343575874,0.048309680603219045,0.9557480443833845,0
ABHD11,False,,0.07409100987449548,0.08193659907283428,0.8537696543613471,0
ABHD11-AS1,False,,0.009536277750191289,0.011076617764345115,0.8879638599183224,0
ABHD12,False,,0.11497119170251244,0.14147769163157303,0.9231010954928596,0
ABHD12B,True,1680.0,0.0006713873868515075,0.0007236621115554445,1.0857619730201238,1
ABHD13,False,,0.0967262673942755,0.1230978457000462,0.9887562121241125,0
ABHD14A,False,,0.11171871438238472,0.1317544590208326,0.9334537097299562,0
ABHD14B,False,,0.22195759856136446,0.2697391890952916,0.9551627788238541,0
ABHD15,False,,0.026330375817182703,0.03624675726627324,1.0714267500376322,0
ABHD16A,False,,0.0066148460882279,0.009756432345103996,1.0984310118776701,0
ABHD17A,False,,0.1627809258602074,0.21352252699112717,1.0376531272207745,0
ABHD17B,False,,0.04165110738099983,0.05333699804827583,1.0287052283886935,0
ABHD17C,False,,0.05078401828249895,0.06937306226062244,0.9562126483214424,0
ABHD18,False,,0.04626734596914199,0.06273328048126711,1.074206751749612,0
ABHD2,False,,0.16642102375532905,0.2097878976063809,0.9562590350819061,0
ABHD3,False,,0.1808130693134711,0.23987470431551342,1.0483619463446705,0
ABHD4,False,,0.026141751431148805,0.03194015583404762,0.9203049941889614,0
ABHD5,False,,0.09141675912416658,0.10945416955534248,0.9599565827319017,0
ABHD6,False,,0.024201751893268002,0.028049722721419895,0.9112537581262914,0
ABHD8,False,,0.04217334511256083,0.04709053115354033,0.8536333502883554,0
ABI1,False,,0.18720753766438658,0.23465839085003234,0.9940044003280916,0
ABI2,False,,0.1746725696432698,0.2170726827306083,0.9942579937871656,0
ABI3,False,,0.11501577831047674,0.1569831537095062,1.0912059037960455,0
