pseudo_group,RLP1,RLP2,RLP3,RLP4
S001__T cells,0.06315845,0.50763905,0.12732632,0.10409621
S001__B cells,0.08014,0.53634095,0.09257803,0.07146246
S001__TAMs,0.2397753,0.2201981,0.26591396,0.22719331
S001__unclassified,0.149205,0.37849694,0.17235798,0.17503314
S001__Malignant cells,0.10310775,0.0696865,0.012931125,0.6075401
S001__TECs,0.5526272,0.0,0.33406842,0.30130163
S001__CAFs,0.4401217,0.16687737,0.10557988,0.42835417
S002__Malignant cells,0.12267451,0.030404745,0.34418213,1.1312246
S002__TAMs,0.1454453,0.23915967,0.4230401,0.53124857
S002__B cells,0.011589866,0.13822123,0.11122951,0.34987593
S002__unclassified,0.0063247993,0.1891381,0.140276,0.5589622
S002__T cells,0.0,0.52436405,0.33743432,0.3806921
S003__unclassified,0.037791245,0.35492492,0.6635777,0.29818818
S003__Malignant cells,0.13278688,0.052390855,0.37660477,0.8108587
S003__T cells,0.0,0.52792954,0.9011765,0.1567881
S003__TAMs,0.27585247,0.13551143,0.79548603,0.32252237
S004__T cells,0.0,0.50971556,1.6045847,0.12215454
S004__TECs,0.44911534,0.0,1.1119668,0.31660932
S004__TAMs,0.11277399,0.277315,1.0911378,0.36973783
S004__B cells,0.057407495,0.49528548,1.2477924,0.06714757
S004__unclassified,0.016847892,0.41109318,1.4826849,0.23574248
S004__Malignant cells,0.063924775,0.04392137,0.46400374,0.78758806
S005__Malignant cells,0.0,0.2528322,0.0,0.823499
S005__T cells,0.0,0.58276826,0.52407885,0.34758285
S005__unclassified,0.0,0.4584276,0.12906426,0.4411856
S005__TAMs,0.0770963,0.38323653,0.2814072,0.46581012
S006__unclassified,0.12773977,0.41853812,0.3314293,0.16483596
S006__T cells,0.034712836,0.5590906,0.44762936,0.02101431
S006__B cells,0.06552593,0.46746743,0.2790526,0.0822105
S006__TECs,0.59522957,0.09147441,0.44510373,0.23303226
S006__Malignant cells,0.21091373,0.1132698,0.10587281,0.5402284
S006__TAMs,0.24381894,0.37880868,0.33049667,0.20090355
S006__CAFs,0.41346583,0.19066693,0.2561079,0.39190274
S007__T cells,0.011110455,0.6367408,0.1807935,0.095528774
S007__Malignant cells,0.0,0.16547906,0.0,0.6606542
S007__B cells,0.046519805,0.390048,0.08701421,0.13510881
S007__CAFs,0.35895318,0.21329582,0.20772825,0.5391644
S007__unclassified,0.06331277,0.49311665,0.1892234,0.18856302
S007__TAMs,0.14059125,0.4979703,0.14657271,0.27444148
S008__unclassified,0.0056577786,0.22211383,0.07838482,0.56168497
S008__Malignant cells,0.0,0.0525992,0.0,0.8905373
S008__T cells,0.0101189185,0.59817094,0.32852602,0.14939517
S008__TAMs,0.0045570447,0.48648563,0.1807991,0.5192734
S008__CAFs,0.3287711,0.1598705,0.11700468,0.51739603
S009__T cells,0.05356244,0.6080673,0.23816304,0.05109262
S009__unclassified,0.19246948,0.4375074,0.28320423,0.20263164
S009__B cells,0.09991181,0.5464376,0.20342049,0.063655175
S009__TECs,0.51745504,0.18828152,0.2350438,0.25524485
S009__TAMs,0.2459118,0.47099787,0.19268969,0.18212247
S009__CAFs,0.40122092,0.26406372,0.07788011,0.37121814
S010__T cells,0.008365946,0.6159304,0.09681291,0.11363214
S010__CAFs,0.33716106,0.23785312,0.0,0.5910028
S010__TAMs,0.09828853,0.431982,0.0,0.28119734
S010__unclassified,0.17992139,0.36744586,0.0,0.5661795
S011__Malignant cells,0.15235949,0.16391717,0.0,0.69566536
S011__TECs,0.4149787,0.06366795,0.15823086,0.2483336
S011__TAMs,0.2321942,0.23306921,0.057606827,0.09574309
S011__T cells,0.0,0.49646944,0.3050298,0.1533084
S011__unclassified,0.15372182,0.28807387,0.08377538,0.27313206
S012__T cells,0.0,0.5859486,0.34690964,0.19652192
S012__unclassified,0.0,0.54220283,0.40637895,0.29634148
S012__TAMs,0.15885147,0.39360517,0.2854527,0.42201668
S012__B cells,0.009367028,0.57862365,0.19590703,0.16772662
S012__TECs,0.45877522,0.12865621,0.37997988,0.37185952
S012__CAFs,0.31073081,0.15131453,0.22977802,0.4491056
S013__Malignant cells,0.051380835,0.1626471,0.033235498,0.75200546
S013__TECs,0.361063,0.11191671,0.21464649,0.40178388
S013__TAMs,0.13673952,0.37249145,0.07765273,0.35731268
S013__T cells,0.0,0.47613984,0.25184637,0.18640326
S013__unclassified,0.039036915,0.4012318,0.21269937,0.29987568
S013__CAFs,0.23607644,0.11577692,0.142782,0.6263533
S015__T cells,0.12710616,0.6016467,0.08684668,0.0
S015__B cells,0.1897917,0.56176233,0.118872814,0.0
S015__TAMs,0.2478935,0.49549696,0.18355905,0.115886204
S015__unclassified,0.17590444,0.5499255,0.22396034,0.04862061
