program,rank,gene,weight
RLP1,1,CSNK1A1,1.0008280277252197
RLP1,2,RPL12,0.9696717262268066
RLP1,3,RPS6,0.9682976007461548
RLP1,4,RPL26,0.9666261672973633
RLP1,5,RPS15,0.9430505633354187
RLP1,6,RPS14,0.9332563281059265
RLP1,7,RPS9,0.926078736782074
RLP1,8,RPL15,0.9193589091300964
RLP1,9,HNRNPH1,0.9077020287513733
RLP1,10,PCBP2,0.9057076573371887
RLP1,11,DDX17,0.9019405841827393
RLP1,12,YBX3,0.900701105594635
RLP1,13,RPL3,0.8971624374389648
RLP1,14,TRA2A,0.8875500559806824
RLP1,15,PPP1CB,0.8710761070251465
RLP1,16,RPS18,0.8651507496833801
RLP1,17,RPS17,0.8462703824043274
RLP1,18,RPS19,0.8419750332832336
RLP1,19,RPS3A,0.8406601548194885
RLP1,20,RPL13,0.8390131592750549
RLP1,21,EIF4G2,0.8381848931312561
RLP1,22,SRSF6,0.8327513337135315
RLP1,23,RPL38,0.8314700722694397
RLP1,24,YWHAE,0.8223231434822083
RLP1,25,VAPA,0.8221003413200378
RLP1,26,EIF4A2,0.8219246864318848
RLP1,27,RPL13A,0.816523551940918
RLP1,28,ELAVL1,0.8152022957801819
RLP1,29,FAM120A,0.7989081144332886
RLP1,30,RPS13,0.7935846447944641
RLP1,31,RPS8,0.7892464399337769
RLP1,32,MORF4L1,0.7885253429412842
RLP1,33,PCBP1,0.7880270481109619
RLP1,34,RPS25,0.7816017866134644
RLP1,35,RAC1,0.7809997797012329
RLP1,36,EEF2,0.7809978723526001
RLP1,37,RPS15A,0.7620006799697876
RLP1,38,RPS2,0.7588735818862915
RLP1,39,RPL11,0.7521354556083679
RLP1,40,RPLP2,0.7499775886535645
RLP1,41,MYH9,0.7488470077514648
RLP1,42,CLIC4,0.744183361530304
RLP1,43,CIRBP,0.734717071056366
RLP1,44,RPS7,0.7336928248405457
RLP1,45,HSPB1,0.7332204580307007
RLP1,46,SPTBN1,0.7303696870803833
RLP1,47,RPS4X,0.7267062664031982
RLP1,48,RPS24,0.7183024883270264
RLP1,49,CFL1,0.7160638570785522
RLP1,50,SET,0.713417112827301
RLP2,1,RPL26,1.355926275253296
RLP2,2,RPS2,1.3016870021820068
RLP2,3,RPS15A,1.2977222204208374
RLP2,4,RPL23A,1.2854660749435425
RLP2,5,RPS25,1.2804374694824219
RLP2,6,RPS7,1.2729814052581787
RLP2,7,RPS27A,1.2728303670883179
RLP2,8,RPS19,1.272505760192871
RLP2,9,RPL11,1.2707769870758057
RLP2,10,RPL12,1.2656614780426025
RLP2,11,RPLP2,1.2638987302780151
RLP2,12,RPL27,1.2607088088989258
RLP2,13,RPS13,1.2512215375900269
RLP2,14,RPS17,1.2508376836776733
RLP2,15,RPS14,1.24891996383667
RLP2,16,RPS18,1.247727870941162
RLP2,17,RPS3A,1.2464194297790527
RLP2,18,RPL13A,1.2408415079116821
RLP2,19,RPS9,1.2289890050888062
RLP2,20,RPS3,1.2231965065002441
RLP2,21,RPS15,1.2192959785461426
RLP2,22,RPL15,1.2140864133834839
RLP2,23,RPL38,1.213676929473877
