gene,Rloop_module
AATF,RRC4
ABCE1,RRC4
ABCF1,RRC4
ABCF2,RRC4
ACACA,RRC4
ACADVL,RRC4
ACAP1,RRC4
ACAT1,RRC4
ACIN1,RRC4
ACLY,RRC4
ACO2,RRC4
ACP1,RRC4
ACTB,RRC4
ACTR3,RRC4
ADAR,RRC4
ADARB1,RRC4
AGK,RRC4
AGO2,RRC4
AGPS,RRC4
AHCTF1,RRC4
AHCY,RRC4
AHNAK,RRC4
AHSA1,RRC4
AIFM1,RRC4
AIMP1,RRC4
AIMP2,RRC4
AKAP17A,RRC4
AKR1B1,RRC4
AKR1B15,RRC4
ALDH18A1,RRC4
ALDOA,RRC4
ALKBH2,RRC4
ALKBH3,RRC4
ALYREF,RRC4
ANKHD1,RRC4
ANKRD17,RRC4
ANXA2,RRC4
ANXA6,RRC4
AP2A1,RRC4
AP2B1,RRC4
AP2M1,RRC4
AP3B1,RRC4
AP3D1,RRC4
APEX1,RRC4
API5,RRC4
APOBEC3B,RRC1
APOBEC3C,RRC4
APOBEC3D,RRC4
APOBEC3G,RRC4
AQR,RRC4
ARCN1,RRC4
ARF1,RRC4
ARF3,RRC4
ARF4,RRC4
ARGLU1,RRC4
ARHGAP17,RRC4
ARHGAP4,RRC4
ARHGEF1,RRC4
ARHGEF2,RRC4
ARPC2,RRC4
ASCC3,RRC4
ASNS,RRC4
ATAD3A,RRC4
ATAD5,RRC4
ATIC,RRC4
ATM,RRC4
ATP2A2,RRC4
ATR,RRC4
ATRX,RRC4
ATXN2,RRC4
AURKA,RRC4
AURKB,RRC4
BAZ1B,RRC4
BAZ2A,RRC4
BCLAF1,RRC4
BLM,RRC4
BMS1,RRC4
BOP1,RRC4
BRCA1,RRC4
BRCA2,RRC4
BRD2,RRC4
BRD4,RRC4
BRD7,RRC4
BRD9,RRC4
BRIX1,RRC4
BUB3,RRC4
BUD31,RRC4
C1QBP,RRC4
C1orf109,RRC4
C1orf35,RRC4
C7orf50,RRC4
CACYBP,RRC4
CAD,RRC4
CAND1,RRC4
CANX,RRC4
CAP1,RRC4
CAPRIN1,RRC4
CAPZA1,RRC4
CAPZB,RRC4
CARM1,RRC4
CBX3,RRC4
CBX5,RRC4
CBX8,RRC4
CCAR1,RRC4
CCAR2,RRC4
CCDC124,RRC4
CCDC137,RRC4
CCDC47,RRC4
CCDC59,RRC4
CCDC86,RRC4
CCNT1,RRC4
CCT2,RRC4
CCT3,RRC4
CCT4,RRC4
CCT5,RRC4
CCT6A,RRC4
CCT7,RRC4
CCT8,RRC4
CDC40,RRC4
CDC5L,RRC4
CDC73,RRC4
CDCA7,RRC4
CDCA8,RRC4
CDK1,RRC4
CDYL,RRC4
CDYL2,RRC4
CEBPZ,RRC4
CENPA,RRC4
CENPC,RRC4
CENPV,RRC4
CFL1,RRC4
CHAF1B,RRC4
CHD4,RRC4
CHEK1,RRC4
CHEK2,RRC2
CHERP,RRC4
CHTOP,RRC4
CIRBP,RRC4
CKAP5,RRC4
CLASP1,RRC4
CLIC4,RRC4
CLINT1,RRC4
CLIP2,RRC4
CLTC,RRC4
CLUH,RRC4
CMAS,RRC4
COIL,RRC4
COPA,RRC4
COPB1,RRC4
COPB2,RRC4
CORO1A,RRC4
CORO1C,RRC4
CPSF1,RRC4
CPSF7,RRC4
CRNKL1,RRC4
CRYZ,RRC4
CS,RRC4
CSDE1,RRC4
CSE1L,RRC4
CSNK1A1,RRC4
CSNK2A1,RRC4
CSNK2A2,RRC4
CTCF,RRC4
CTPS1,RRC4
CUL3,RRC4
CUL4A,RRC4
CWC25,RRC4
CYFIP2,RRC4
DAP3,RRC4
DAZAP1,RRC4
DCAF13,RRC4
DDB1,RRC4
DDB2,RRC4
DDOST,RRC4
DDX1,RRC4
DDX11,RRC4
DDX17,RRC4
DDX18,RRC4
DDX19B,RRC4
DDX21,RRC4
DDX23,RRC4
DDX24,RRC4
DDX27,RRC4
DDX31,RRC4
DDX39A,RRC4
DDX39B,RRC4
DDX3X,RRC4
DDX3Y,RRC4
DDX41,RRC4
DDX43,RRC4
DDX46,RRC4
DDX47,RRC3
DDX49,RRC4
DDX5,RRC4
DDX50,RRC4
DDX52,RRC4
DDX54,RRC4
DDX56,RRC4
DDX58,RRC4
DDX6,RRC4
DECR1,RRC4
DEK,RRC4
DENND3,RRC4
