names,scores,logfoldchanges,pvals,pvals_adj,minus_log10_padj,direction
ENO1,41.024242,3.0414054,0.0,1e-300,300.0,High-up
CD24,34.429787,3.0268965,9.037990122718104e-260,1.0288245423027442e-257,256.9876586843309,High-up
PKIB,33.453053,4.022182,2.3235951995982504e-245,2.0477619630007805e-243,242.68872052824477,High-up
PPIA,31.957464,2.100714,4.2552601188768312e-224,3.321534469934715e-222,221.47866123621512,High-up
TUBA1B,31.803394,2.566607,5.810131822574753e-222,4.290075713317358e-220,219.36753504310997,High-up
AGR2,31.362251,3.9052732,6.623306209471579e-216,4.5237181410690885e-214,213.34450446245387,High-up
CYCS,31.011623,2.2264888,3.7579886037020395e-211,2.444482110789041e-209,208.61181313664275,High-up
HNRNPA3,29.60227,2.1175559,1.3970399307641646e-192,7.339832867014803e-191,190.134313829152,High-up
HSP90AA1,28.88698,2.1980186,1.7399663987782797e-183,8.488550359754036e-182,181.07116647047621,High-up
ZC3H15,28.82519,2.1022687,1.03712368845648e-182,4.885210201488109e-181,180.3111167446612,High-up
DNAJA1,28.236282,2.1783335,2.0979169287716345e-175,9.39591647443296e-174,173.0270608525643,High-up
TFF3,27.913218,4.0108905,1.8441876309026854e-171,7.872375949415838e-170,169.1038941741222,High-up
FABP5,26.453009,3.673752,3.3692167486147914e-154,1.2784305773910568e-152,151.89332285048832,High-up
CDC123,26.26884,2.0701022,4.3550082468825195e-152,1.6298469219839786e-150,149.78785318336264,High-up
RNH1,25.63038,1.753713,6.997391298427396e-145,2.515378029908374e-143,142.5993967366654,High-up
TIMP1,23.874935,2.1541183,5.579530433471462e-126,1.7933267228522393e-124,123.7463405799273,High-up
UBE2V2,23.707819,1.7673619,2.9946821888975015e-124,9.513339232637178e-123,122.02166701663118,High-up
SNRPB,23.52231,1.5717127,2.4116574807509604e-122,7.40297554765351e-121,120.13059368510878,High-up
TPGS2,23.357058,2.113616,1.1683755821522186e-120,3.5466689893776235e-119,118.4501793423414,High-up
CFL1,23.22598,1.8896035,2.4883231734108687e-119,7.47043836237197e-118,117.12665391320823,High-up
MPP6,22.836245,2.411318,2.0021289505175361e-115,5.757701360856746e-114,113.23975086476108,High-up
