Sample,R-loop-program-low,R-loop-program-high,Total_malignant_cells,log2_malignant_cell_no
H28,0,7,7,3.0
S08_P03_LCP26,5,115,120,6.918863237274595
H70,98,1147,1245,10.283088353024002
H37,4,35,39,5.321928094887363
H72,119,960,1079,10.076815597050832
S355_P13_LCP42,4,27,31,5.0
S305_P06_LCP56,17,65,82,6.3750394313469245
H30,3,11,14,3.9068905956085187
C76,1,3,4,2.321928094887362
S19_P11_LCP39,5,14,19,4.321928094887363
S09_P04_LCP25,19,53,72,6.189824558880018
H73a,41,93,134,7.076815597050831
S21_P13_LCP37,16,34,50,5.672425341971495
S300_P02_LCP60,18,27,45,5.523561956057013
S12_P07_LCP30,8,12,20,4.392317422778761
S364_P21_LCP65,181,228,409,8.679480099505446
H74,137,171,308,8.271463027904375
H38,95,80,175,7.459431618637297
S15_P09_LCP38,98,82,180,7.499845887083206
C29,3,2,5,2.584962500721156
H34c,8,4,12,3.700439718141092
H68a,2007,893,2900,11.502334580197997
H75,62,27,89,6.491853096329675
S11_P06_LCP29,23,10,33,5.087462841250339
S358_P16_LCP46,323,135,458,8.842350343413807
H68b,600,168,768,9.586839787961827
S365_P22_LCP66,163,45,208,7.7073591320808825
H77,8,2,10,3.4594316186372973
H08,137,30,167,7.392317422778761
H73b,68,14,82,6.3750394313469245
H58c,8,1,9,3.321928094887362
S351_P10_LCP34,36,4,40,5.357552004618084
H34a,37,4,41,5.392317422778761
H34b,16,1,17,4.169925001442312
C46b,1,0,1,1.0
C26b,2,0,2,1.584962500721156
C42,1,0,1,1.0
H58a,5,0,5,2.584962500721156
H55,1,0,1,1.0
H43,2,0,2,1.584962500721156
H58b,16,0,16,4.087462841250339
H63,66,0,66,6.066089190457772
H49a,2,0,2,1.584962500721156
S10_P05_LCP23,40,0,40,5.357552004618084
