Sample,R-loop-program-low,R-loop-program-high
H28,0.0,100.0
S08_P03_LCP26,4.166666666666666,95.83333333333334
H70,7.8714859437751,92.1285140562249
H37,10.256410256410255,89.74358974358975
H72,11.028730305838739,88.97126969416126
S355_P13_LCP42,12.903225806451612,87.09677419354838
S305_P06_LCP56,20.73170731707317,79.26829268292683
H30,21.428571428571427,78.57142857142857
C76,25.0,75.0
S19_P11_LCP39,26.31578947368421,73.68421052631578
S09_P04_LCP25,26.38888888888889,73.61111111111111
H73a,30.597014925373134,69.40298507462687
S21_P13_LCP37,32.0,68.0
S300_P02_LCP60,40.0,60.0
S12_P07_LCP30,40.0,60.0
S364_P21_LCP65,44.25427872860636,55.74572127139364
H74,44.48051948051948,55.519480519480524
H38,54.285714285714285,45.714285714285715
S15_P09_LCP38,54.44444444444444,45.55555555555556
C29,60.0,40.0
H34c,66.66666666666666,33.33333333333333
H68a,69.20689655172414,30.79310344827586
H75,69.66292134831461,30.337078651685395
S11_P06_LCP29,69.6969696969697,30.303030303030305
S358_P16_LCP46,70.52401746724891,29.475982532751093
H68b,78.125,21.875
S365_P22_LCP66,78.36538461538461,21.634615384615387
H77,80.0,20.0
H08,82.03592814371258,17.964071856287426
H73b,82.92682926829268,17.073170731707318
H58c,88.88888888888889,11.11111111111111
S351_P10_LCP34,90.0,10.0
H34a,90.2439024390244,9.75609756097561
H34b,94.11764705882352,5.88235294117647
C46b,100.0,0.0
C26b,100.0,0.0
C42,100.0,0.0
H58a,100.0,0.0
H55,100.0,0.0
H43,100.0,0.0
H58b,100.0,0.0
H63,100.0,0.0
H49a,100.0,0.0
S10_P05_LCP23,100.0,0.0
