Rloop_sample_group,celltype,Signature,Score
R-loop-high-enriched,T cell,Cytotoxicity,1.0424755928451457
R-loop-high-enriched,T cell,Cytotoxicity,0.12331490942694842
R-loop-high-enriched,T cell,Cytotoxicity,-0.35599898016173703
R-loop-high-enriched,T cell,Cytotoxicity,-0.39444850041316104
R-loop-high-enriched,T cell,Cytotoxicity,1.154821515709831
R-loop-high-enriched,T cell,Cytotoxicity,0.8955529181511849
R-loop-high-enriched,T cell,Cytotoxicity,-0.36435742840719065
R-loop-high-enriched,T cell,Cytotoxicity,-0.26319017697337477
R-loop-high-enriched,T cell,Cytotoxicity,-0.2478990841868729
R-loop-high-enriched,T cell,Cytotoxicity,-0.19840942178681542
R-loop-high-enriched,T cell,Cytotoxicity,1.8928920601864383
R-loop-high-enriched,T cell,Cytotoxicity,2.6499598904539967
R-loop-high-enriched,T cell,Cytotoxicity,1.1590905834258145
R-loop-high-enriched,T cell,Cytotoxicity,-0.030919250323336145
R-loop-high-enriched,T cell,Cytotoxicity,1.033926732791877
R-loop-high-enriched,T cell,Cytotoxicity,-0.2431664355223793
R-loop-high-enriched,T cell,Cytotoxicity,-0.2857733889168321
R-loop-high-enriched,T cell,Cytotoxicity,-0.22237222728920622
R-loop-low-enriched,T cell,Cytotoxicity,1.3924597668636374
R-loop-low-enriched,T cell,Cytotoxicity,0.38082214661665187
R-loop-low-enriched,T cell,Cytotoxicity,0.8760987526483076
R-loop-low-enriched,T cell,Cytotoxicity,1.0856989296896287
R-loop-low-enriched,T cell,Cytotoxicity,0.5949075772212102
R-loop-low-enriched,T cell,Cytotoxicity,-0.21497498068921142
R-loop-low-enriched,T cell,Cytotoxicity,0.7918536479656513
R-loop-low-enriched,T cell,Cytotoxicity,-0.1487823409779016
R-loop-low-enriched,T cell,Cytotoxicity,0.9052578679580069
R-loop-low-enriched,T cell,Cytotoxicity,0.47129551987299434
R-loop-low-enriched,T cell,Cytotoxicity,0.6559086688898763
R-loop-low-enriched,T cell,Cytotoxicity,0.005083770542354371
R-loop-low-enriched,T cell,Cytotoxicity,0.24414432475968972
R-loop-low-enriched,T cell,Cytotoxicity,0.3546845645239293
R-loop-low-enriched,T cell,Cytotoxicity,1.3314926003475707
R-loop-low-enriched,T cell,Cytotoxicity,-0.18033596026060175
