Gene,High_n,Low_n,High_median,Low_median,MannWhitney_U,P_value,Significance
PDCD1,186,185,0.8672462977382605,0.64819071966518,20230.0,0.0034071060186262373,**
CD274,186,185,1.2220778121347302,1.19281686762612,18209.0,0.33124213665470315,ns
PDCD1LG2,186,185,0.7660603738145679,0.938770549315026,15545.0,0.10810453995982301,ns
CTLA4,186,185,0.810898075437321,0.5405551526744015,20760.0,0.0005783184904852468,***
LAG3,186,185,1.709776649888145,1.62653097096175,17971.0,0.4585860464935332,ns
HAVCR2,186,185,2.60534436592423,2.38941861347234,19207.0,0.052634853073946206,ns
TIGIT,186,185,1.212786600806655,1.05328591752654,19037.0,0.07617797733859852,ns
TOX,186,185,0.830159041116705,0.817390440267875,18172.0,0.3493809025885066,ns
ENTPD1,186,185,3.71962867850175,3.31836905577033,22467.0,3.499914995760782e-07,***
IDO1,186,185,1.2607595220103849,1.13253979477441,19064.0,0.07194778935611836,ns
