Signature,Spearman_r,P_value,minus_log10_p,Significance
TAM_M2,-0.32107843137254904,0.208898183250939,0.6800653369824635,ns
Cytotoxicity,-0.2916666666666667,0.2560026072263,0.5917556116481925,ns
MHC_II,-0.1985294117647059,0.4449505436788084,0.35168825823484323,ns
EMT,-0.10539215686274511,0.6872658389566565,0.1628752424743678,ns
Treg,-0.03186274509803922,0.9033768447188891,0.044131045432464155,ns
Checkpoint,-0.022058823529411766,0.9330304490530753,0.03010418300596525,ns
IFNG_Response,0.08088235294117649,0.7576329086921563,0.1205411694944752,ns
Tcell_Exhaustion,0.11519607843137256,0.6597500431074229,0.18062057273153484,ns
Immunosuppression,0.14705882352941177,0.5732772908660002,0.2416352615166593,ns
SPP1_TAM_axis,0.16666666666666669,0.5226031535880373,0.28182797390117215,ns
MHC_I,0.3137254901960785,0.22010439650726998,0.6573712824817393,ns
Hypoxia,0.5882352941176471,0.013000939348989993,1.886025267743567,*
