Pair,Target,Combined-high,Combined-low,Delta_high_minus_low,Log2_ratio_high_vs_low,Abs_delta
CXCL10-CXCR3,Myeloid,0.0006860394,0.0008414536,-0.00015541422,-0.2942045,0.00015541422
CXCL10-CXCR3,T_NK,0.009766449,0.011978924,-0.002212475,-0.29456505,0.002212475
CXCL10-CXCR3,Treg,0.013168862,0.016152114,-0.0029832516,-0.294572,0.0029832516
LGALS9-TIM3,Myeloid,0.024265429,0.031468894,-0.0072034653,-0.37501037,0.0072034653
LGALS9-TIM3,T_NK,0.010185184,0.01320877,-0.0030235862,-0.37499166,0.0030235862
LGALS9-TIM3,Treg,0.016681593,0.021633713,-0.0049521197,-0.37500438,0.0049521197
MIF-CD74,Myeloid,6.6145267,5.4546685,1.1598582,0.2781464,1.1598582
MIF-CD74,T_NK,2.3976712,1.9772393,0.42043197,0.27814624,0.42043197
MIF-CD74,Treg,2.7504098,2.268125,0.48228478,0.27814624,0.48228478
PD-L1-PD1,Myeloid,8.287405e-05,0.0001512062,-6.833215e-05,-0.85973066,6.833215e-05
PD-L1-PD1,T_NK,0.0012836906,0.0023421322,-0.0010584416,-0.86701745,0.0010584416
PD-L1-PD1,Treg,0.0016726549,0.0030518093,-0.0013791544,-0.8671354,0.0013791544
SPP1-CD44,Myeloid,0.13376322,0.20749553,-0.0737323,-0.63339484,0.0737323
SPP1-CD44,T_NK,0.17335512,0.26891106,-0.095555946,-0.6333958,0.095555946
SPP1-CD44,Treg,0.16591443,0.25736895,-0.09145452,-0.6333957,0.09145452
TGFB-TGFBR2,Myeloid,0.19860965,0.18636617,0.0122434795,0.09179531,0.0122434795
TGFB-TGFBR2,T_NK,0.18184605,0.17063597,0.011210084,0.09179531,0.011210084
TGFB-TGFBR2,Treg,0.1102741,0.103476144,0.0067979544,0.09179499,0.0067979544
